,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
1136,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,3,Does the job,Go for it not like desert cooler its personal cooler,Rakesh Yadav,Azamgarh District,"May, 2020",9,2
295,ACCGY4GMUVP9UFNS,"HUPSHY Back Cover for Samsung Galaxy M12, Samsung Galaxy F12, Samsung Galaxy A12",4,Good choice,Very good,Jagadish Kumar Chauhan,Jaunpur District,1 month ago,0,0
33,RUKFS4HMZE75SVFT,Chaayos Chai-Time Snacks Premium flavored Sooji Rusk,5,Mind-blowing purchase,"The best tea time snack, I must say. Me and my kid both love this ☺️☺️☺️",Nupur Tiwari,Noida,9 days ago,0,0
508,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,5,Fabulous!,"after use of one month, very nice product, work well , less sound , better cooling",Parmjit  Singh,Gurugram,"May, 2019",2,0
1026,AICGC6YYNZJHZTCA,CROMPTON 75 L Desert Air Cooler,5,Best in the market!,Excellent Product... Excellent delivery... Specially excellent behavior of Delivery Agent... Noise is very low... fully satisfied... 10 out of 5... I am from West Bengal and there is not any single scratch on the product due to delivery reason... Excellent... No leakage issue in honeycomb pad... everything is fine... bohot dino ke bad chain se sone ko mila yaar... Just fill up 75 liter tank with 4 to 5 large bucket of water and enjoy... Special Warning : Don't switch on the pump regulator wit...,Shaswata Mukherjee,Burdwan,"May, 2019",25,3
154,ACCEZ3YWU75CERHH,ZEBRONICS ZEB-KM-2100 Wired USB Desktop Keyboard,5,Simply awesome,greet,Kumar Jayprakash,Bhagalpur,"Apr, 2018",1,0
877,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,5,Wonderful,Valuey money..,Muzaffar Hasan,Jodhpur,29 days ago,0,0
100,ACCGYWFK2JE2BJR8,"GoldKart Back Cover for Samsung Galaxy M12, Samsung Galaxy A12, Samsung Galaxy F12",4,Value-for-money,Good cover,Aishi Ghosh,Serampore,4 months ago,0,0
372,ACCGFWY2ARNJDAJG,GadgetM Back Cover for Apple Iphone 12,4,Very Good,Good,vijay kumar,Hyderabad,4 months ago,0,0
1161,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,5,Perfect product!,Good quality product . Value for Money .,Parth Dwivedi,Rajgarh Rajgarh District,11 months ago,1,0
1585,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,5,Must buy!,air thow nd cooling capicity well under the 35°C ...OVER ALL BEST PRODUCT ..ACTUALLY I USE SO MANY PRODUCT OF FLIPKART SMARTBUY..ALL ARE BEST,Vinit Singhania ,New Delhi,"Jun, 2019",0,0
485,ACCFZZ8GZPFHFGTM,Case Club Back Cover for Samsung Galaxy M12,5,Terrific purchase,Excellent,Nathuni Pandey,Pareo,5 months ago,0,0
181,CKBET6WU5APC49HS,BRITANNIA NutriChoice Digestive High Fibre Biscuits Digestive,5,Super!,Good,Sharad Patel,Bidar,5 months ago,0,0
203,ACCFX6XRVG54GWXH,"Casewilla Back Cover for Apple iPhone 12, Plain, Cover",5,Wonderful,Excellent..product go  for it,Chandrashekhar  Tengli,Kalaburgi,2 months ago,0,0
824,ACCFAUEFZT5R72ZS,Prolite Majestic Basket Wired USB Multi-device Keyboard,5,Classy product,Excellent,Mirja Sultan,Contai,2 months ago,0,0
1566,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,5,Worth every penny,"Its a good deal.lookwise awesome and working ok. since I am using it in kolkata, where high humidity climate restricts its performance, so it is providing me only direct cooling, not capable to cool entire room.It absorbs only 1liter/hour water due to humidity but provides me cool air to relax.All specification as described.Air throw is good. It had very bad smel in starting 2 days, which is not surprising about air coolers pad.In this price range it is a very good product. If you are li...",Vikesh Nandan Kumar,Bidhan Nagar,"May, 2019",1,1
1217,AICEQUFHVJGGHPMV,Symphony 35 L Tower Air Cooler,4,Nice product,"pros:- The look and feel of this product is just wow.            Build quality is goo            The air output is good            It can easily withstand for 8hrs with full of watercons:- This moderately makes the room cool, but not that cool.",rajashekar reddy kappati,Zahirabad,"Apr, 2018",35,9
490,ACCFXUAB8YXRXTDF,"SHINESTAR. Back Cover for Apple iPhone 7 Plus, Apple iPhone 8 Plus",5,Simply awesome,Iteam is very good but cost is high😳,Farhan Khan,Siwan,4 months ago,0,0
427,ACCFB5RHGC5NYGV9,SUNSHINE Back Cover for Apple iPhone 7,5,Highly recommended,Very classy cover,Saniya Khan,Bahraich,"Oct, 2020",0,0
163,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,5,Perfect product!,Very good product and material Also... Nice,Shahbuddin  Khan,Bareilly,2 months ago,0,0
903,AICERF3ZUEZPUWFK,Hindware 36 L Room/Personal Air Cooler,5,Best in the market!,good quality,MD NOOR ALAM,Karari Chandpur,"May, 2019",32,4
117,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,5,Classy product,Nice cover,Ankit Kumar,Abohar,10 months ago,1,0
174,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,5,Terrific,ITS SO GOOD LOOKING STYLISH.,Kottada  Saikumar ,Visakhapatnam,"Sep, 2019",50,5
109,ACCGYWFK2JE2BJR8,"GoldKart Back Cover for Samsung Galaxy M12, Samsung Galaxy A12, Samsung Galaxy F12",5,Classy product,Delightful,Sayan Bhattacharyya,Singur,8 months ago,0,0
845,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,2,Expected a better product,Cooling not satisfaction,Kalpesh Patil,Nandurbar District,11 months ago,0,0
57,ACCFZUG7KF9ATX9H,"Casotec Back Cover for Samsung Galaxy M12, Samsung Galaxy A12, Samsung Galaxy F12 Clear TPU Case",3,Fair,It's ok.,BAYYA  DEVENDER ,Suryapet District,5 months ago,0,0
719,ACCDTR26KZZMSB57,HP x500 Wired Optical Mouse,4,Good choice,Nice product 👍,Sujoy  Ghosh ,Purba Bardhaman District,2 months ago,0,0
121,CKBET6WU5APC49HS,BRITANNIA NutriChoice Digestive High Fibre Biscuits Digestive,5,Simply awesome,Very nice,Mantun Mukhiya ,Darbhanga District,7 days ago,0,0
421,ACCFB5RHGC5NYGV9,SUNSHINE Back Cover for Apple iPhone 7,4,Nice product,Best but it is bit hard to remove again if we can't remove it properly it can LITTLE damage to the COLOUR of the bumper of  COVER,Sanjay  Turambekar,Mumbai,"Dec, 2020",0,0
151,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,1,Hated it!,Very bad quality,Jyotishankar Pradhan,Fci Township,2 months ago,0,0
157,CKBET6WU5APC49HS,BRITANNIA NutriChoice Digestive High Fibre Biscuits Digestive,5,Great product,Very healthy fiber biscuit,Devanand  Yellare,Hingoli,2 months ago,0,0
617,ACCEGVTXGKZDXFRX,AMKETTE Xcite Neo Mouse & Wired USB Laptop Keyboard,5,Super!,product is very good at this price range..U won't get good product lyk dz at dz price range....the keyboard is awesome and the mouse is average...go for it,Lakeumong yimchunger,Dimapur,"Jan, 2020",0,0
480,ACCFZZ8GZPFHFGTM,Case Club Back Cover for Samsung Galaxy M12,5,Highly recommended,Awesome products 👌,Sontosh Paul,Siliguri,4 months ago,0,0
247,ACCEQH83EUNCY3CV,SHINESTAR. Back Cover for Apple iPhone 6s,4,Nice one!,My iPhone looking better with this cover,somnath maity,Haldia,"Oct, 2017",1,0
398,AICFFVVJFQHHNCN8,CROMPTON 88 L Desert Air Cooler,1,Horrible,"Received a used product and air flow to weak dont even cool a small room, totally disappointed",Avinash SHOUNDIK,Barara,11 months ago,0,0
